Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.6,0.2,50.0,1000,12837,5161,9,50533.000000,0.000178
2,1000,0.6,0.2,50.0,1000,9671,3833,15,50556.000000,0.000297
3,1000,0.6,0.2,50.0,1000,162,68,16,50793.000000,0.000315
4,1000,0.6,0.2,50.0,1000,6349,2594,22,49384.000000,0.000445
5,1000,0.6,0.2,50.0,1000,8144,3243,12,50768.000000,0.000236
6,1000,0.6,0.2,50.0,1000,8283,3361,21,52007.292969,0.000404
7,1000,0.6,0.2,50.0,1000,3345,1343,19,50001.164062,0.000380
8,1000,0.6,0.2,50.0,1000,6359,2543,14,49504.000000,0.000283
9,1000,0.6,0.2,50.0,1000,7784,3029,18,48727.000000,0.000369
10,1000,0.6,0.2,50.0,1000,8133,3279,10,50686.000000,0.000197
