Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,16693,3376,54,50707.363281,0.001065
2,1000,0.8,0.2,50.0,1000,17122,3435,38,51859.875000,0.000733
3,1000,0.8,0.2,50.0,1000,16982,3404,43,51501.820312,0.000835
4,1000,0.8,0.2,50.0,1000,16132,3379,53,49053.199219,0.001080
5,1000,0.8,0.2,50.0,1000,16649,3303,56,50626.730469,0.001106
6,1000,0.8,0.2,50.0,1000,16548,3388,54,50357.054688,0.001072
7,1000,0.8,0.2,50.0,1000,16224,3165,55,49350.867188,0.001114
8,1000,0.8,0.2,50.0,1000,16511,3355,54,50217.722656,0.001075
9,1000,0.8,0.2,50.0,1000,16788,3378,47,50895.574219,0.000923
10,1000,0.8,0.2,50.0,1000,16467,3332,51,50082.917969,0.001018
