Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.1,0.2,50.0,1000,12489,7487,432,51666.492188,0.008361
2,1000,0.1,0.2,50.0,1000,14049,8158,278,49947.035156,0.005566
3,1000,0.1,0.2,50.0,1000,15900,9041,164,51108.359375,0.003209
4,1000,0.1,0.2,50.0,1000,9191,6237,682,50878.250000,0.013405
5,1000,0.1,0.2,50.0,1000,14788,8578,255,50325.800781,0.005067
6,1000,0.1,0.2,50.0,1000,14157,8151,286,51579.593750,0.005545
7,1000,0.1,0.2,50.0,1000,15784,8866,146,50642.609375,0.002883
8,1000,0.1,0.2,50.0,1000,13889,8154,287,50021.605469,0.005738
9,1000,0.1,0.2,50.0,1000,13440,7783,265,48642.593750,0.005448
10,1000,0.1,0.2,50.0,1000,16617,9238,105,51256.816406,0.002049
