Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.5,0.2,50.0,1000,287053,8956,153,49355.652344,0.003100
2,1000,0.5,0.2,50.0,1000,292561,9072,150,50058.609375,0.002996
3,1000,0.5,0.2,50.0,1000,297383,9125,158,50502.210938,0.003129
4,1000,0.5,0.2,50.0,1000,286936,8995,168,50014.679688,0.003359
5,1000,0.5,0.2,50.0,1000,287404,8795,147,48809.976562,0.003012
6,1000,0.5,0.2,50.0,1000,286944,8717,147,48498.683594,0.003031
7,1000,0.5,0.2,50.0,1000,294497,9246,157,50784.363281,0.003092
8,1000,0.5,0.2,50.0,1000,291080,9014,148,50307.332031,0.002942
9,1000,0.5,0.2,50.0,1000,294956,9068,151,50249.355469,0.003005
10,1000,0.5,0.2,50.0,1000,297829,9033,139,50416.789062,0.002757
