Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.6,0.2,50.0,1000,9699,3915,998,50966.000000,0.019582
2,1000,0.6,0.2,50.0,1000,9817,3810,992,51677.000000,0.019196
3,1000,0.6,0.2,50.0,1000,10073,4072,998,49419.000000,0.020195
4,1000,0.6,0.2,50.0,1000,9396,3797,997,50243.648438,0.019843
5,1000,0.6,0.2,50.0,1000,10148,4042,997,50500.687500,0.019742
6,1000,0.6,0.2,50.0,1000,9624,3914,998,50661.726562,0.019699
7,1000,0.6,0.2,50.0,1000,9669,3793,996,48959.070312,0.020344
8,1000,0.6,0.2,50.0,1000,9408,3748,999,49632.644531,0.020128
9,1000,0.6,0.2,50.0,1000,9772,3900,997,49592.000000,0.020104
10,1000,0.6,0.2,50.0,1000,10249,4171,998,50789.000000,0.019650
