Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,123144,8280,604,49595.000000,0.012179
2,1000,0.8,0.2,50.0,1000,109578,8474,498,49321.000000,0.010097
3,1000,0.8,0.2,50.0,1000,130947,8753,524,50757.000000,0.010324
4,1000,0.8,0.2,50.0,1000,67082,8079,861,50342.000000,0.017103
5,1000,0.8,0.2,50.0,1000,87958,8050,776,50972.000000,0.015224
6,1000,0.8,0.2,50.0,1000,96764,8000,694,49363.000000,0.014059
7,1000,0.8,0.2,50.0,1000,149154,8476,365,49409.000000,0.007387
8,1000,0.8,0.2,50.0,1000,144054,8608,540,49875.000000,0.010827
9,1000,0.8,0.2,50.0,1000,91054,8556,747,51673.000000,0.014456
10,1000,0.8,0.2,50.0,1000,80654,8241,799,49812.000000,0.016040
