Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.5,0.2,50.0,1000,6214,3076,997,49137.925781,0.020290
2,1000,0.5,0.2,50.0,1000,6313,3120,996,49324.582031,0.020193
3,1000,0.5,0.2,50.0,1000,6567,3247,997,50239.089844,0.019845
4,1000,0.5,0.2,50.0,1000,5888,2976,999,50658.726562,0.019720
5,1000,0.5,0.2,50.0,1000,6413,3200,998,49477.984375,0.020171
6,1000,0.5,0.2,50.0,1000,6173,3161,999,51557.089844,0.019377
7,1000,0.5,0.2,50.0,1000,6485,3198,997,50125.066406,0.019890
8,1000,0.5,0.2,50.0,1000,6071,3094,997,48512.773438,0.020551
9,1000,0.5,0.2,50.0,1000,6445,3248,997,48751.085938,0.020451
10,1000,0.5,0.2,50.0,1000,6347,3179,998,49220.742188,0.020276
