Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.4,0.2,50.0,1000,76179,8808,88,48687.050781,0.001807
2,1000,0.4,0.2,50.0,1000,78557,9032,81,49894.367188,0.001623
3,1000,0.4,0.2,50.0,1000,76523,8770,79,48559.476562,0.001627
4,1000,0.4,0.2,50.0,1000,81725,9314,82,51918.984375,0.001579
5,1000,0.4,0.2,50.0,1000,82861,9457,88,52488.859375,0.001677
6,1000,0.4,0.2,50.0,1000,78792,9012,77,49858.683594,0.001544
7,1000,0.4,0.2,50.0,1000,83265,9564,87,52794.289062,0.001648
8,1000,0.4,0.2,50.0,1000,78588,9075,98,50567.136719,0.001938
9,1000,0.4,0.2,50.0,1000,77181,8879,95,48900.582031,0.001943
10,1000,0.4,0.2,50.0,1000,76393,8751,102,49009.562500,0.002081
