Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,6560,1361,9,50566.000000,0.000178
2,1000,0.8,0.2,50.0,1000,7944,1591,9,49389.000000,0.000182
3,1000,0.8,0.2,50.0,1000,6653,1314,11,51464.000000,0.000214
4,1000,0.8,0.2,50.0,1000,3427,734,9,48699.000000,0.000185
5,1000,0.8,0.2,50.0,1000,5158,1045,13,50897.000000,0.000255
6,1000,0.8,0.2,50.0,1000,4921,1070,11,49108.000000,0.000224
7,1000,0.8,0.2,50.0,1000,6411,1240,10,48955.000000,0.000204
8,1000,0.8,0.2,50.0,1000,6849,1334,16,52123.000000,0.000307
9,1000,0.8,0.2,50.0,1000,4915,953,12,49034.000000,0.000245
10,1000,0.8,0.2,50.0,1000,5169,1024,9,50646.000000,0.000178
