Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.4,0.2,50.0,1000,4589,2743,999,50341.488281,0.019844
2,1000,0.4,0.2,50.0,1000,4634,2708,996,51184.019531,0.019459
3,1000,0.4,0.2,50.0,1000,4543,2715,998,49780.320312,0.020048
4,1000,0.4,0.2,50.0,1000,4277,2601,998,50434.109375,0.019788
5,1000,0.4,0.2,50.0,1000,4294,2623,999,49769.917969,0.020072
6,1000,0.4,0.2,50.0,1000,4375,2653,998,50701.113281,0.019684
7,1000,0.4,0.2,50.0,1000,4536,2729,998,49448.906250,0.020182
8,1000,0.4,0.2,50.0,1000,4276,2596,998,49699.347656,0.020081
9,1000,0.4,0.2,50.0,1000,4377,2608,999,48699.449219,0.020514
10,1000,0.4,0.2,50.0,1000,4608,2788,995,49830.984375,0.019967
