Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50.0,1000,74449,8781,145,49575.648438,0.002925
2,1000,0.2,0.2,50.0,1000,77988,9097,121,50475.175781,0.002397
3,1000,0.2,0.2,50.0,1000,76560,9077,148,50894.097656,0.002908
4,1000,0.2,0.2,50.0,1000,77233,8960,125,50009.312500,0.002500
5,1000,0.2,0.2,50.0,1000,68698,8563,231,50547.285156,0.004570
6,1000,0.2,0.2,50.0,1000,71998,8741,193,50923.156250,0.003790
7,1000,0.2,0.2,50.0,1000,74334,8759,132,48997.429688,0.002694
8,1000,0.2,0.2,50.0,1000,74586,8886,151,50645.250000,0.002982
9,1000,0.2,0.2,50.0,1000,76806,8931,106,49411.406250,0.002145
10,1000,0.2,0.2,50.0,1000,77342,9126,141,51191.445312,0.002754
