Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.1,0.2,50.0,1000,1436,1295,722,48240.449219,0.014967
2,1000,0.1,0.2,50.0,1000,1458,1302,737,50026.187500,0.014732
3,1000,0.1,0.2,50.0,1000,1476,1329,705,50321.964844,0.014010
4,1000,0.1,0.2,50.0,1000,1417,1257,723,50594.957031,0.014290
5,1000,0.1,0.2,50.0,1000,1451,1305,762,51696.433594,0.014740
6,1000,0.1,0.2,50.0,1000,1418,1296,710,50239.855469,0.014132
7,1000,0.1,0.2,50.0,1000,1472,1315,720,49926.378906,0.014421
8,1000,0.1,0.2,50.0,1000,1450,1307,732,50699.414062,0.014438
9,1000,0.1,0.2,50.0,1000,1468,1323,719,50485.402344,0.014242
10,1000,0.1,0.2,50.0,1000,1426,1292,730,49922.656250,0.014623
