Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50.0,1000,143293,8905,182,50233.640625,0.003623
2,1000,0.2,0.2,50.0,1000,149631,9056,148,50245.566406,0.002946
3,1000,0.2,0.2,50.0,1000,142668,8851,182,49639.199219,0.003666
4,1000,0.2,0.2,50.0,1000,145021,8799,167,48992.960938,0.003409
5,1000,0.2,0.2,50.0,1000,130406,8538,261,50512.386719,0.005167
6,1000,0.2,0.2,50.0,1000,133679,8509,228,49676.765625,0.004590
7,1000,0.2,0.2,50.0,1000,143750,8830,175,49468.054688,0.003538
8,1000,0.2,0.2,50.0,1000,141225,8889,198,50675.828125,0.003907
9,1000,0.2,0.2,50.0,1000,151285,9251,153,51126.937500,0.002993
10,1000,0.2,0.2,50.0,1000,141676,8782,179,49197.832031,0.003638
