Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50.0,1000,2469,1958,999,49648.679688,0.020121
2,1000,0.2,0.2,50.0,1000,2583,2060,999,50322.496094,0.019852
3,1000,0.2,0.2,50.0,1000,2497,2004,998,49698.765625,0.020081
4,1000,0.2,0.2,50.0,1000,2554,2046,997,49777.285156,0.020029
5,1000,0.2,0.2,50.0,1000,2453,1979,999,49949.917969,0.020000
6,1000,0.2,0.2,50.0,1000,2489,1980,999,51509.839844,0.019394
7,1000,0.2,0.2,50.0,1000,2545,2042,999,48744.914062,0.020494
8,1000,0.2,0.2,50.0,1000,2477,1979,998,51099.218750,0.019531
9,1000,0.2,0.2,50.0,1000,2587,2055,999,48730.574219,0.020500
10,1000,0.2,0.2,50.0,1000,2483,2001,998,49518.125000,0.020154
