Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50.0,1000,1639,1287,656,50540.359375,0.012980
2,1000,0.2,0.2,50.0,1000,1582,1272,642,49414.554688,0.012992
3,1000,0.2,0.2,50.0,1000,1602,1267,632,49684.421875,0.012720
4,1000,0.2,0.2,50.0,1000,1628,1288,631,50038.101562,0.012610
5,1000,0.2,0.2,50.0,1000,1566,1256,665,50260.734375,0.013231
6,1000,0.2,0.2,50.0,1000,1625,1311,651,50021.738281,0.013014
7,1000,0.2,0.2,50.0,1000,1628,1281,655,49949.148438,0.013113
8,1000,0.2,0.2,50.0,1000,1597,1279,660,49839.433594,0.013243
9,1000,0.2,0.2,50.0,1000,1633,1285,634,50621.136719,0.012524
10,1000,0.2,0.2,50.0,1000,1538,1269,649,49802.402344,0.013031
