Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,90406,8087,347,49419.000000,0.007022
2,1000,0.8,0.2,50.0,1000,85338,8497,348,49384.000000,0.007047
3,1000,0.8,0.2,50.0,1000,81036,8950,379,51883.000000,0.007305
4,1000,0.8,0.2,50.0,1000,98941,8598,258,49788.000000,0.005182
5,1000,0.8,0.2,50.0,1000,54552,7750,617,51217.000000,0.012047
6,1000,0.8,0.2,50.0,1000,96160,8209,278,50119.000000,0.005547
7,1000,0.8,0.2,50.0,1000,109922,8436,110,49471.000000,0.002224
8,1000,0.8,0.2,50.0,1000,95129,8437,289,48813.000000,0.005921
9,1000,0.8,0.2,50.0,1000,107763,8292,143,50251.000000,0.002846
10,1000,0.8,0.2,50.0,1000,87654,8182,346,51054.000000,0.006777
