Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,158239,8990,110,50149.054688,0.002193
2,1000,0.8,0.2,50.0,1000,157852,8970,96,50166.011719,0.001914
3,1000,0.8,0.2,50.0,1000,159251,9070,94,50435.710938,0.001864
4,1000,0.8,0.2,50.0,1000,157665,8973,98,50213.636719,0.001952
5,1000,0.8,0.2,50.0,1000,164354,9315,107,52184.531250,0.002050
6,1000,0.8,0.2,50.0,1000,160930,9210,94,51316.996094,0.001832
7,1000,0.8,0.2,50.0,1000,154157,8774,92,48953.816406,0.001879
8,1000,0.8,0.2,50.0,1000,158565,8985,101,50300.343750,0.002008
9,1000,0.8,0.2,50.0,1000,152387,8624,89,48210.972656,0.001846
10,1000,0.8,0.2,50.0,1000,156967,8915,101,50043.625000,0.002018
