Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50.0,1000,15678,8794,148,49808.042969,0.002971
2,1000,0.2,0.2,50.0,1000,15882,8855,125,49416.789062,0.002530
3,1000,0.2,0.2,50.0,1000,15650,8811,160,49621.343750,0.003224
4,1000,0.2,0.2,50.0,1000,15846,9009,157,49773.253906,0.003154
5,1000,0.2,0.2,50.0,1000,15153,8655,214,49780.136719,0.004299
6,1000,0.2,0.2,50.0,1000,15586,8951,221,51823.148438,0.004265
7,1000,0.2,0.2,50.0,1000,15670,8904,161,49622.933594,0.003244
8,1000,0.2,0.2,50.0,1000,15637,8909,180,50327.605469,0.003577
9,1000,0.2,0.2,50.0,1000,16119,9131,140,50226.199219,0.002787
10,1000,0.2,0.2,50.0,1000,16027,8969,144,50339.472656,0.002861
