Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.4,0.2,50.0,1000,301,189,65,50859.109375,0.001278
2,1000,0.4,0.2,50.0,1000,12782,7619,33,51025.000000,0.000647
3,1000,0.4,0.2,50.0,1000,690,419,163,50268.742188,0.003243
4,1000,0.4,0.2,50.0,1000,9563,5774,43,51247.953125,0.000839
5,1000,0.4,0.2,50.0,1000,15635,8867,14,49932.433594,0.000280
6,1000,0.4,0.2,50.0,1000,580,353,142,50228.906250,0.002827
7,1000,0.4,0.2,50.0,1000,3377,1989,116,49780.750000,0.002330
8,1000,0.4,0.2,50.0,1000,1405,860,328,49223.359375,0.006664
9,1000,0.4,0.2,50.0,1000,9520,5681,40,50222.000000,0.000796
10,1000,0.4,0.2,50.0,1000,9036,5480,86,49692.367188,0.001731
