Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.5,0.2,50.0,1000,78251,8954,79,49466.597656,0.001597
2,1000,0.5,0.2,50.0,1000,81838,9295,72,51317.984375,0.001403
3,1000,0.5,0.2,50.0,1000,80434,9104,69,50618.019531,0.001363
4,1000,0.5,0.2,50.0,1000,78360,8947,87,49640.859375,0.001753
5,1000,0.5,0.2,50.0,1000,79141,8959,74,49612.558594,0.001492
6,1000,0.5,0.2,50.0,1000,78947,8918,74,49586.578125,0.001492
7,1000,0.5,0.2,50.0,1000,80261,9265,73,50791.250000,0.001437
8,1000,0.5,0.2,50.0,1000,78244,8875,71,49455.882812,0.001436
9,1000,0.5,0.2,50.0,1000,82411,9275,65,51543.062500,0.001261
10,1000,0.5,0.2,50.0,1000,82196,9282,78,51790.207031,0.001506
