Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.4,0.2,50.0,1000,1937,1170,444,49938.710938,0.008891
2,1000,0.4,0.2,50.0,1000,1987,1197,457,50821.437500,0.008992
3,1000,0.4,0.2,50.0,1000,1958,1174,421,50550.128906,0.008328
4,1000,0.4,0.2,50.0,1000,1941,1187,468,50701.640625,0.009230
5,1000,0.4,0.2,50.0,1000,1890,1130,447,49089.171875,0.009106
6,1000,0.4,0.2,50.0,1000,1916,1174,462,49814.378906,0.009274
7,1000,0.4,0.2,50.0,1000,2003,1171,443,51250.628906,0.008644
8,1000,0.4,0.2,50.0,1000,1917,1147,458,50725.125000,0.009029
9,1000,0.4,0.2,50.0,1000,1925,1117,420,49695.355469,0.008451
10,1000,0.4,0.2,50.0,1000,2024,1208,416,51500.785156,0.008078
