Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.5,0.2,50.0,1000,157735,9224,118,50849.652344,0.002321
2,1000,0.5,0.2,50.0,1000,155742,9053,116,49963.093750,0.002322
3,1000,0.5,0.2,50.0,1000,153273,8914,116,49402.976562,0.002348
4,1000,0.5,0.2,50.0,1000,155244,9110,130,50562.730469,0.002571
5,1000,0.5,0.2,50.0,1000,157479,9062,117,50314.804688,0.002325
6,1000,0.5,0.2,50.0,1000,157601,9026,113,50286.214844,0.002247
7,1000,0.5,0.2,50.0,1000,157379,9298,120,51134.304688,0.002347
8,1000,0.5,0.2,50.0,1000,154325,8968,114,50036.925781,0.002278
9,1000,0.5,0.2,50.0,1000,151346,8798,118,48660.675781,0.002425
10,1000,0.5,0.2,50.0,1000,153677,8862,115,49448.613281,0.002326
