Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,58065,8356,67,50118.000000,0.001337
2,1000,0.8,0.2,50.0,1000,49847,7934,65,49337.000000,0.001317
3,1000,0.8,0.2,50.0,1000,52514,8361,123,50986.000000,0.002412
4,1000,0.8,0.2,50.0,1000,57197,8462,66,50361.000000,0.001311
5,1000,0.8,0.2,50.0,1000,58569,7997,60,49442.000000,0.001214
6,1000,0.8,0.2,50.0,1000,45508,7820,85,48937.000000,0.001737
7,1000,0.8,0.2,50.0,1000,57199,8062,58,49550.000000,0.001171
8,1000,0.8,0.2,50.0,1000,57971,8713,64,51426.000000,0.001245
9,1000,0.8,0.2,50.0,1000,53594,7887,89,48949.000000,0.001818
10,1000,0.8,0.2,50.0,1000,53103,8765,49,51397.000000,0.000953
