Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,213362,8481,606,50744.000000,0.011942
2,1000,0.8,0.2,50.0,1000,253165,8420,557,49016.000000,0.011364
3,1000,0.8,0.2,50.0,1000,249584,8857,569,51315.000000,0.011088
4,1000,0.8,0.2,50.0,1000,68759,8050,854,50187.000000,0.017016
5,1000,0.8,0.2,50.0,1000,100613,7995,776,50683.000000,0.015311
6,1000,0.8,0.2,50.0,1000,140463,8044,694,49582.000000,0.013997
7,1000,0.8,0.2,50.0,1000,322960,8628,477,50153.945312,0.009511
8,1000,0.8,0.2,50.0,1000,265398,8487,540,49183.000000,0.010979
9,1000,0.8,0.2,50.0,1000,112600,8532,742,51545.000000,0.014395
10,1000,0.8,0.2,50.0,1000,86293,8220,799,49722.000000,0.016069
