Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.5,0.2,50.0,1000,2165,1052,328,51585.070312,0.006358
2,1000,0.5,0.2,50.0,1000,2098,1044,334,49805.273438,0.006706
3,1000,0.5,0.2,50.0,1000,2106,1044,335,50099.417969,0.006687
4,1000,0.5,0.2,50.0,1000,2052,1068,347,49796.789062,0.006968
5,1000,0.5,0.2,50.0,1000,2053,1012,335,49069.433594,0.006827
6,1000,0.5,0.2,50.0,1000,2010,1075,339,48845.863281,0.006940
7,1000,0.5,0.2,50.0,1000,2086,1040,318,49821.460938,0.006383
8,1000,0.5,0.2,50.0,1000,2085,1056,335,51208.097656,0.006542
9,1000,0.5,0.2,50.0,1000,2065,995,319,48944.187500,0.006518
10,1000,0.5,0.2,50.0,1000,2112,1061,318,49540.242188,0.006419
