Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,78914,8738,67,48904.910156,0.001370
2,1000,0.8,0.2,50.0,1000,81470,9046,66,50601.394531,0.001304
3,1000,0.8,0.2,50.0,1000,80592,8960,61,49838.656250,0.001224
4,1000,0.8,0.2,50.0,1000,80530,8971,60,49938.460938,0.001201
5,1000,0.8,0.2,50.0,1000,82032,9063,62,50819.496094,0.001220
6,1000,0.8,0.2,50.0,1000,80868,9047,61,50375.656250,0.001211
7,1000,0.8,0.2,50.0,1000,79554,8818,61,49270.824219,0.001238
8,1000,0.8,0.2,50.0,1000,80840,8990,68,50284.324219,0.001352
9,1000,0.8,0.2,50.0,1000,80135,8856,63,49575.527344,0.001271
10,1000,0.8,0.2,50.0,1000,82757,9194,72,51586.101562,0.001396
