Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.6,0.2,50.0,1000,78017,8877,70,49175.097656,0.001423
2,1000,0.6,0.2,50.0,1000,78598,8914,74,49183.214844,0.001505
3,1000,0.6,0.2,50.0,1000,83002,9388,67,52126.964844,0.001285
4,1000,0.6,0.2,50.0,1000,80178,9062,64,50306.789062,0.001272
5,1000,0.6,0.2,50.0,1000,81805,9261,75,51357.914062,0.001460
6,1000,0.6,0.2,50.0,1000,80960,9213,79,50966.707031,0.001550
7,1000,0.6,0.2,50.0,1000,81237,9219,73,50826.312500,0.001436
8,1000,0.6,0.2,50.0,1000,80585,9095,71,50908.203125,0.001395
9,1000,0.6,0.2,50.0,1000,79386,9060,77,50015.218750,0.001540
10,1000,0.6,0.2,50.0,1000,80445,9079,74,50731.097656,0.001459
