Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,612923,8842,75,49281.773438,0.001522
2,1000,0.8,0.2,50.0,1000,636867,9130,59,51123.582031,0.001154
3,1000,0.8,0.2,50.0,1000,632694,9191,81,51083.921875,0.001586
4,1000,0.8,0.2,50.0,1000,602938,8693,75,48594.464844,0.001543
5,1000,0.8,0.2,50.0,1000,602499,8752,75,49176.375000,0.001525
6,1000,0.8,0.2,50.0,1000,621670,9132,90,50785.109375,0.001772
7,1000,0.8,0.2,50.0,1000,594526,8689,73,48459.726562,0.001506
8,1000,0.8,0.2,50.0,1000,601088,8728,61,48805.542969,0.001250
9,1000,0.8,0.2,50.0,1000,605316,8743,75,48825.304688,0.001536
10,1000,0.8,0.2,50.0,1000,610495,8774,58,49282.675781,0.001177
