Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.6,0.2,50.0,1000,16329,6505,215,51239.781250,0.004196
2,1000,0.6,0.2,50.0,1000,16381,6540,180,50906.691406,0.003536
3,1000,0.6,0.2,50.0,1000,16569,6699,188,51721.660156,0.003635
4,1000,0.6,0.2,50.0,1000,16512,6627,195,51578.593750,0.003781
5,1000,0.6,0.2,50.0,1000,15961,6365,187,49644.472656,0.003767
6,1000,0.6,0.2,50.0,1000,16336,6514,189,51040.695312,0.003703
7,1000,0.6,0.2,50.0,1000,15913,6321,199,49798.664062,0.003996
8,1000,0.6,0.2,50.0,1000,16030,6376,190,50008.472656,0.003799
9,1000,0.6,0.2,50.0,1000,15689,6230,178,48791.468750,0.003648
10,1000,0.6,0.2,50.0,1000,16565,6643,199,51700.691406,0.003849
