Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.6,0.2,50.0,1000,2260,909,244,51029.222656,0.004782
2,1000,0.6,0.2,50.0,1000,2164,883,228,48886.050781,0.004664
3,1000,0.6,0.2,50.0,1000,2266,888,223,50228.003906,0.004440
4,1000,0.6,0.2,50.0,1000,2255,928,254,50522.976562,0.005027
5,1000,0.6,0.2,50.0,1000,2216,920,240,50485.421875,0.004754
6,1000,0.6,0.2,50.0,1000,2249,910,239,50739.378906,0.004710
7,1000,0.6,0.2,50.0,1000,2222,890,214,50026.093750,0.004278
8,1000,0.6,0.2,50.0,1000,2215,900,221,49580.710938,0.004457
9,1000,0.6,0.2,50.0,1000,2160,854,225,48738.980469,0.004616
10,1000,0.6,0.2,50.0,1000,2161,881,235,49282.273438,0.004768
