Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.4,0.2,50.0,1000,14929,8806,445,49721.925781,0.008950
2,1000,0.4,0.2,50.0,1000,15577,9297,474,51389.441406,0.009224
3,1000,0.4,0.2,50.0,1000,15309,9117,445,50772.335938,0.008765
4,1000,0.4,0.2,50.0,1000,15348,9052,400,50587.109375,0.007907
5,1000,0.4,0.2,50.0,1000,15198,9010,453,50412.703125,0.008986
6,1000,0.4,0.2,50.0,1000,15453,9295,484,51614.214844,0.009377
7,1000,0.4,0.2,50.0,1000,15244,9011,434,50249.593750,0.008637
8,1000,0.4,0.2,50.0,1000,15969,9488,462,52717.265625,0.008764
9,1000,0.4,0.2,50.0,1000,15237,9078,459,50557.160156,0.009079
10,1000,0.4,0.2,50.0,1000,15378,9002,401,50633.226562,0.007920
