Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.1,0.2,50.0,1000,1989,1794,999,48724.171875,0.020503
2,1000,0.1,0.2,50.0,1000,1951,1769,999,50462.332031,0.019797
3,1000,0.1,0.2,50.0,1000,1997,1790,999,49309.636719,0.020260
4,1000,0.1,0.2,50.0,1000,1990,1797,999,49324.699219,0.020254
5,1000,0.1,0.2,50.0,1000,1891,1718,997,50350.042969,0.019801
6,1000,0.1,0.2,50.0,1000,1923,1749,999,50043.480469,0.019963
7,1000,0.1,0.2,50.0,1000,1965,1784,999,50489.039062,0.019786
8,1000,0.1,0.2,50.0,1000,1915,1738,999,50191.382812,0.019904
9,1000,0.1,0.2,50.0,1000,2051,1846,999,48968.488281,0.020401
10,1000,0.1,0.2,50.0,1000,1938,1752,999,49725.593750,0.020090
