Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,291092,8738,84,48746.832031,0.001723
2,1000,0.8,0.2,50.0,1000,303452,9095,62,50897.757812,0.001218
3,1000,0.8,0.2,50.0,1000,295330,8885,77,49365.937500,0.001560
4,1000,0.8,0.2,50.0,1000,288732,8723,78,48757.523438,0.001600
5,1000,0.8,0.2,50.0,1000,304811,9132,72,51183.417969,0.001407
6,1000,0.8,0.2,50.0,1000,303050,9190,89,51130.128906,0.001741
7,1000,0.8,0.2,50.0,1000,297124,8906,79,49654.855469,0.001591
8,1000,0.8,0.2,50.0,1000,293615,8791,65,49160.574219,0.001322
9,1000,0.8,0.2,50.0,1000,288433,8630,75,48195.207031,0.001556
10,1000,0.8,0.2,50.0,1000,303513,9063,65,50894.558594,0.001277
