Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.1,0.2,50.0,1000,49720,7349,459,50808.738281,0.009034
2,1000,0.1,0.2,50.0,1000,64676,8453,299,51121.355469,0.005849
3,1000,0.1,0.2,50.0,1000,74022,8865,169,50486.003906,0.003347
4,1000,0.1,0.2,50.0,1000,29640,6221,700,50847.296875,0.013767
5,1000,0.1,0.2,50.0,1000,67800,8669,264,50806.238281,0.005196
6,1000,0.1,0.2,50.0,1000,59480,7811,314,49493.269531,0.006344
7,1000,0.1,0.2,50.0,1000,72220,8710,171,49447.449219,0.003458
8,1000,0.1,0.2,50.0,1000,67237,8479,253,51187.476562,0.004943
9,1000,0.1,0.2,50.0,1000,63951,8169,278,50775.261719,0.005475
10,1000,0.1,0.2,50.0,1000,77929,9053,119,49980.839844,0.002381
